File Name,File Path,Container Name,Blob URL
009_1737757311321061.bin,20250124_jcvc01_multi/1251/img_fc/009_1737757311321061.bin,ssd2-1,https://forhondafotus.blob.core.windows.net/ssd2-1/20250124_jcvc01_multi/1251/img_fc/009_1737757311321061.bin
010_1737757911375254.bin,20250124_jcvc01_multi/1251/img_fc/010_1737757911375254.bin,ssd2-1,https://forhondafotus.blob.core.windows.net/ssd2-1/20250124_jcvc01_multi/1251/img_fc/010_1737757911375254.bin
011_1737758511417688.bin,20250124_jcvc01_multi/1251/img_fc/011_1737758511417688.bin,ssd2-1,https://forhondafotus.blob.core.windows.net/ssd2-1/20250124_jcvc01_multi/1251/img_fc/011_1737758511417688.bin
000_1737758654297113.bin,20250124_jcvc01_multi/1444/img_fc/000_1737758654297113.bin,ssd2-1,https://forhondafotus.blob.core.windows.net/ssd2-1/20250124_jcvc01_multi/1444/img_fc/000_1737758654297113.bin
001_1737759254332367.bin,20250124_jcvc01_multi/1444/img_fc/001_1737759254332367.bin,ssd2-1,https://forhondafotus.blob.core.windows.net/ssd2-1/20250124_jcvc01_multi/1444/img_fc/001_1737759254332367.bin
002_1737759854347106.bin,20250124_jcvc01_multi/1444/img_fc/002_1737759854347106.bin,ssd2-1,https://forhondafotus.blob.core.windows.net/ssd2-1/20250124_jcvc01_multi/1444/img_fc/002_1737759854347106.bin
003_1737760454528609.bin,20250124_jcvc01_multi/1444/img_fc/003_1737760454528609.bin,ssd2-1,https://forhondafotus.blob.core.windows.net/ssd2-1/20250124_jcvc01_multi/1444/img_fc/003_1737760454528609.bin
004_1737761054681947.bin,20250124_jcvc01_multi/1444/img_fc/004_1737761054681947.bin,ssd2-1,https://forhondafotus.blob.core.windows.net/ssd2-1/20250124_jcvc01_multi/1444/img_fc/004_1737761054681947.bin
005_1737761654870827.bin,20250124_jcvc01_multi/1444/img_fc/005_1737761654870827.bin,ssd2-1,https://forhondafotus.blob.core.windows.net/ssd2-1/20250124_jcvc01_multi/1444/img_fc/005_1737761654870827.bin
006_1737762255346524.bin,20250124_jcvc01_multi/1444/img_fc/006_1737762255346524.bin,ssd2-1,https://forhondafotus.blob.core.windows.net/ssd2-1/20250124_jcvc01_multi/1444/img_fc/006_1737762255346524.bin
